Name,Brand,Rating,Vibe,Top Notes,Heart Notes,Base Notes,Main Accords,Color Association,Temperature,Smells Like...,Memory or Association,ChatGPT's Prediction,Official,Summary Verdict
🕯️ Avignon Candle ⛪🌫️🔥,Comme des Garçons,,"Solemn, ritualistic, contemplative.

Superlative. CdG's scent creations are extraordinary, shocking, entrancing, revolting, mesmerizing, dangerous, psychotically violent. It depends. Avignon is at least three if not four of these and absolutely indispensable to anyone who wants a hypnotic experience. Not in the least understated, Avignon is almost aggressively transporting: The incense of an Orthodox church, dripping wax, liquid darkness, prayers dusted in spice. Better than this, there is not. — Chandler Burr

 Description:  Powerful and intense, Avignon evokes the medieval city in the south of France which surpassed Rome as the Catholic Church’s power center in the 14th century. It’s the scent of gothic cathedrals and Papal palaces, of tapestries imbued with centuries of incense. Of cold marble steps, holy relics and dark confessions. The recognizable smells of frankincense and myrrh open the high mass of Avignon, giving way to the almost eye-smarting, gloriously smoky and resinous heart. A dry vanilla and soft Roman chamomile dull the edges of this reverent fragrance. Beautiful, dark and mysterious, Avignon takes its place among the most talked about (and admired) of CdG’s entire line. (via luckyscent.com)
Notes:  Roman chamomile, cistus oil, elemi, incense, vanilla, patchouli, palisander, ambrette seeds
 Scent:  CdG Incense Avignon is a literal high-hat interpretation of midnignt mass.  All throughout its development, you smell dry smoke with a sticky dark solemn resin. It conjures memories of all my years attending Christmas Eve mass. You can see the swirls of smoke disperse up to the heavens.  A holy cloud eventually enveloping the entire cathedral.  It’s so smokey that it makes you want to cough and your eyes water. You can also smell antiquated wood and the cold damp stone pillars. There’s an intimacy, quietude, and reverence I feel when I smell this scent. Transparent as a stained glass rose window. It makes me want to whisper. To do so otherwise, would be sacreligious.
Sillage:  For me, this is an intimate fragrance. It stays close to the skin.
Longevity:  CdG Incense Avignon performs incredible for an EDT. I’ve been wearing this since 11 a.m. It’s 9:36 p.m. and still going strong.
Would I buy a full bottle?  Yes, definitely. It’s a beautiful scent and should be in every perfumista’s/o’s collection.
Pricepoint:  $$
Season and Occasion:  Winter evenings. Austere religious rituals.
Layering:  It’s beautiful worn alone but amazing layered over other scents. Katie Puckrik layered her Avignon over a vanilla fragrance on her wedding day. One perfume vlogger layered it over Shalimar and said it smelled beautiful under Shalimar’s woody vanilla. I like to layer it with Flourish Pomegranate Rose to create a dark Gothic fruity floral. Another great layering combo is with Regina Harris Frankincense Myrrh Rose Maroc, it adds a touch of sweetness.
Final Verdict:  This is such a beautiful fragrance it almost brings me to tears. This is one of those instances where you smell a fragrance and discover the art of perfumery. Bertrand Duchaufour is a genius in my opinion. He deserves a thousand genuflects! How he managed to stuff centuries of Catholic piety and repression in a bottle is beyond me. This further demonstrates his masterful craftsmanship. CdG Incense Avignon smells so real to me that I am overwhelmed with guilt. My penitant knees are sore from reciting too many Hail Marys, Our Fathers, and Glory Be’s. I can understand why Morrissey chose this as his signature scent and I wouldn’t be surprised if Avignon was his muse. It would explain why his lyrics were so gloomy and maudlin. (FYI..Morrissey also belongs to the Catholic Club.)
For devout incense lovers, Morrissey fans, and recovering Catholics.


Liturgical smoke. Frankincense, myrrh, cold marble, dark spice.

Avignon is not gentle. This is a candle that smells like a cathedral on fire—in the best way. Resinous incense and ancient woods flood the air. Holy smoke and centuries-old rituals. It is haunting, commanding, and transcendent.

Not sweet. Not soft. Not shy.

It smells like secrets, like stone, like sacred text read by candlelight. Pure gothic atmosphere.
","Frankincense,myrrh","Roman chamomile,cistus,smoke","Dry vanilla,patchouli,incense resins","incense,smoky,resinous,aromatic",Cathedral Smoke Grey ⛪🌫️,Cool,"WHAT IT SMELLS LIKE:

- 🕯️ Smoldering incense in a stone cathedral
- 🌫️ Myrrh rising through cold air
- 🪵 Dry vanilla soot and ancient wood

Like a ritual unfolding in the shadows—ancient, reverent, and tinged with danger.

WHAT IT SMELLS LIKE:

- 🕯️ Dense frankincense clouds drifting through stone halls
- 🛐 Burned resin, wax-polished pews, and sacred dust
- 🪵 Cold stone warmed by centuries of prayer
- 📿 Ancient woods and whispers of Latin chant

This doesn’t smell like incense—it smells like religion. Not a memory, but a ritual performed through scent.","A medieval cathedral draped in incense smoke and prayer. Twilight mass in an old European church with stone floors and high ceilings.

Stepping into a centuries-old church in Avignon. The air thick with incense, stone walls radiating chill, the glow of candlelight flickering across sacred icons. Silence echoes louder than sound.

You stand in the nave of a 14th-century cathedral. The choir has left, but the incense remains. It clings to stone, wood, and breath itself. You don’t just smell it—you enter it.","✅ For the drama-loving contemplative. If you want atmosphere, not ambiance—this is sacred smoke in a wax medium. A holy hallucination. Indispensable.",,
Odeur 71,Comme des Garçons,,"Olfactory Brutalism. Incense, dust, photocopier toner, metal.
This is dry static turned conceptual: the smell of warm office machinery in a minimalist Zen dojo. Cold, metallic, and just a little eerie.
Not warm. Not floral. Not nostalgic.
A scent for architectural minds and quiet rebellion.","Aldehydes,Spices,Cucumber,Bamboo","Hyacinth,Bay Leaf,Clove,Incense","Moss,Cedar,Toner,Dust,Metal","Metallic,Woody,Green,Spicy,Ozonic",,Cold,"WHAT IT SMELLS LIKE:

- 🖨️ Photocopier toner curling off warm pages
- ⚡ Electric air, like static between fingertips
- 🌿 Hyacinth and bay leaf pressed into clean white paper
- 💡 A flickering fluorescent light in a Japanese bookstore

Imagine the scent of a laser printer turned sacred object. A room where every molecule is in its place. Cool, clean, strangely soothing.","You walk alone through a deserted design studio at 2AM. The lights are dim, and the air hums with potential. Every desk is clear, every surface is glass. The world smells like future ideas not yet imagined.",,,
🧥 Tuscan Leather 🔥🖤✨,TOM FORD Private Blend,,"Dominant, masculine, opulent","Saffron,raspberry,thyme","Olibanum,jasmine","Leather,suede,amber,woody notes","Leathery,smoky,resinous,spicy,amber",Burnished oxblood and black suede,Cool,Leather seats in a luxury sports car with a hint of raspberry cologne,"Power meetings, expensive briefcases, midnight deals",,,
🍒 Cherry Smoke 🔥🖤🌫️,TOM FORD Private Blend,,"Daring, seductive, dangerous","Sour cherry,saffron","Leather,osmanthus,Chinese peony","Smoke,cypriol oil,woods","Smoky,leathery,fruity,spicy,woody",Crimson red fading into black smoke,Warm,A cherry bonfire—ripe fruit smoldering under leather and ashes,"An underground jazz bar in Tokyo—velvet booths, cherry cocktails, lit cigars",,,
🍒 Lost Cherry 🌹🍷🍫,TOM FORD Private Blend,,"Voluptuous, flirtatious, edible","Black cherry,bitter almond,liqueur","Sour cherry,Turkish rose,jasmine sambac","Peru balsam,roasted tonka bean,vetiver","Fruity,sweet,nutty,floral,gourmand",Syrupy cherry red,Warm,A cherry truffle soaked in amaretto and heartbreak,A sultry Valentine’s night in a red velvet dress,,,
Soleil Blanc,TOM FORD Private Blend,,"Sensual, radiant, hedonistic","Bergamot,cardamom,pink pepper,pistachio","Ylang-ylang,jasmine,tuberose","Amber,tonka bean,coconut,benzoin","Solar,creamy,floral,sweet,exotic",Sun-bleached white and gold,Warm,Skin warmed by sun and dusted in coconut gold,"A luxurious private beach in the Maldives, white sands and silk kaftans",,,
🧪 Odeur 71 🧻📦🪵,Comme des Garcons,,"Retro-futurist, strange, cerebral","Ink,hot metal,dust on a lightbulb","Electric wires,photocopier toner,bamboo","Wood,chalk,stale air","Paper,dust,woody,metallic,abstract",Ash grey and parchment beige,Cool,"A sunlit room filled with books, metal filings, and warm dust","A classroom at golden hour, electric and dry",,,
Odeur 53,Comme des Garcons,,"Conceptual, alien, avant-garde","Oxygen,flash of metal,nail polish","Burnt rubber,sand dunes,clean linen","Minerals,fresh air,fire energy","Synthetic,airy,industrial,metallic,clean",Sterile white and chrome,Cool,"The smell of lightbulbs, sandstorms, and sterilized static",A gallery space with nothing in it but light,,,
🔲 CDG 2 🖤🪞🪶,Comme des Garcons,,"Literary, creative, and mysterious","Ink,aldehydes,mandarin orange","Magnolia,nutmeg,coriander,angelica","Labdanum,vetiver,incense,patchouli","Inky,spicy,woody,floral,metallic",Ink black and reflective silver,Cool,"An artist's studio: ink-stained paper, crushed flowers, and warm resin",Drafting poems by candlelight with a Montblanc fountain pen,,,
🔲 CDG 2 Man 🖤🔥🌫️🌲🧴🖋️,Comme des Garcons,,"Intellectual, tactile, artisanal","Aldehydes,incense,nutmeg","Mahogany,leather,saffron","Vetiver,white smoke,patchouli","Woody,smoky,spicy,leathery,metallic",Copper and black ink,Warm,Old books and new ink in a smoky atelier,A letterpress studio in winter with brass tools and inky fingers,,,
⚫ Blackpepper 🌶️🖤🧨,Comme des Garcons,,"Spiced, magnetic, aggressive",Black pepper,"Cedarwood,patchouli","Tonka,musk,akigalawood","Spicy,woody,musky,dry,dark",Jet black and smoldering bronze,Hot,Cracked pepper on hot stone,Opening a spice drawer in a sun-scorched kitchen in Marrakesh,,,
🌿 Amazingreen 🌱⚡🔋💨,Comme des Garcons,,"Exploratory, clean chaos, electric green","Palm tree,green pepper,dew mist","Ivy,coriander seed,orris root","Gunpowder,vetiver,smoke,white musk","Green,fresh,ozonic,mineral,smoky",Lush green and rain-washed stone,Cool,Crushed leaves and gunpowder in a summer storm,Running through a botanical garden during a thunderstorm,,,
🪵 Wonderwood 🌲🔥✨,Comme des Garcons,,"Bold, elemental, nature-bound. Maximalist woods. A riot of cedar, sandalwood, oud, and vetiver.
This isn’t one note—it’s a forest in motion. Dry, dusty, rich, and just a little unhinged.
Not subtle. Not aquatic. Not clean.
Like falling into a lumber mill built by artists.
","Pepper,bergamot,incense","Gaïac wood,cedar,sandalwood,patchouli","Vetiver,oud,cashmeran","Woody,spicy,smoky,earthy,dry",Burnt brown and soft charcoal,Warm,"WHAT IT SMELLS LIKE:

- 🪵 Fresh-cut cedar and pencil shavings on suede
- 🔥 A dry forest lit by warm golden sun
- 🌰 Nutmeg crackling in a wooden bowl
- 🌳 Wood chips scattered across an art gallery floor

It’s a woodworker’s dream turned into scent—rough, warm, layered, and unapologetically complex.

A bonfire in an old wooden cabin, surrounded by peppered forests.","Chopping wood on a cold day in the woods, smoke rising into the dusk.

You step into a sculptor’s studio built entirely of salvaged wood. Sawdust hangs in the sunbeams. Every corner smells like craft, intention, and structure.",,,
🏗️ Concrete 🪨🌹⚙️💨,Comme des Garcons,,"Architectural, challenging, textured","Cardamom,clove,cumin","Rose oxide,jasmine","Sandalwood,cedar,musk","Spicy,woody,floral,mineral,dry",Raw concrete and pale skin,Neutral,Spices ground into powdered stone with a hint of jasmine,A modernist museum—brutalist walls and unexpected softness,,,
